"DATA for Gaechter, Koelle, Quercia: Reciprocity and the Tragedies of Maintaining and Providing the Commons, Nature Human Behaviour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See README for list of variable labels and Methods for further details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,session,cpp,id,groupid,mg,period,oneshot,strangers,partners,punishment,type,CC,FR,OT,c,b,c_other,lag_c_other,pgsize,pun,pun_received,pc,dev_pc,u,cc0,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13,cc14,cc15,cc16,cc17,cc18,cc19,cc20
1,1,1,1,101,101,1,1,0,0,0,1,1,0,0,6,6,15,,50,,,2,4,5,0,0,0,0,1,1,2,2,3,3,5,5,6,6,6,7,7,8,10,10,10
1,1,1,2,101,101,1,1,0,0,0,1,1,0,0,12,10,13,,50,,,10,2,12,12,11,10,9,8,7,6,5,10,10,10,10,12,12,12,15,15,15,15,15,16
1,1,1,3,101,101,1,1,0,0,0,2,0,1,0,12,13,13,,50,,,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,101,101,1,1,0,0,0,1,1,0,0,20,18,10,,50,,,18,2,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,5,102,102,1,1,0,0,0,2,0,1,0,0,1,11,,32,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,6,102,102,1,1,0,0,0,1,1,0,0,12,8,7,,32,,,8,4,4,0,1,1,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,7,102,102,1,1,0,0,0,1,1,0,0,0,2,11,,32,,,0,0,5,0,0,0,0,0,5,6,7,8,9,10,11,10,11,10,10,10,10,13,14,15
1,1,1,8,102,102,1,1,0,0,0,1,1,0,0,20,10,4,,32,,,10,10,20,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,20,20,20,20,20
1,1,1,9,103,103,1,1,0,0,0,1,1,0,0,7,6,7,,29,,,7,0,5,0,1,2,4,5,7,7,8,10,10,12,12,14,14,16,16,18,18,20,20,20
1,1,1,10,103,103,1,1,0,0,0,1,1,0,0,20,16,3,,29,,,16,4,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,11,103,103,1,1,0,0,0,2,0,1,0,0,5,10,,29,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,12,103,103,1,1,0,0,0,1,1,0,0,2,3,9,,29,,,5,-3,1,5,5,5,5,5,6,7,7,7,8,8,8,8,8,8,8,7,7,7,7,7
1,1,1,13,104,104,1,1,0,0,0,3,0,0,1,20,4,1,,22,,,4,16,4,0,2,4,1,4,5,2,4,1,3,0,2,4,1,3,5,2,4,1,3,0
1,1,1,14,104,104,1,1,0,0,0,3,0,0,1,0,20,7,,22,,,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,15,104,104,1,1,0,0,0,3,0,0,1,2,15,7,,22,,,9,-7,15,10,9,8,7,6,5,4,3,2,1,10,11,12,13,10,9,6,5,4,2,10
1,1,1,16,104,104,1,1,0,0,0,2,0,1,0,0,2,7,,22,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,17,105,105,1,1,0,0,0,1,1,0,0,18,18,11,,51,,,20,-2,15,0,0,0,0,10,0,0,0,2,5,5,5,7,7,8,8,10,10,20,5,5
1,1,1,18,105,105,1,1,0,0,0,1,1,0,0,5,8,15,,51,,,4,1,5,0,0,0,1,2,2,3,4,4,5,5,5,5,5,6,7,7,8,8,9,10
1,1,1,19,105,105,1,1,0,0,0,1,1,0,0,12,12,13,,51,,,10,2,12,0,1,1,1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,18,19,20
1,1,1,20,105,105,1,1,0,0,0,1,1,0,0,16,15,12,,51,,,16,0,16,10,10,10,10,12,12,12,12,14,14,14,14,16,16,16,16,16,17,18,19,20
1,2,1,21,201,201,1,1,0,0,0,1,1,0,0,20,19,7,,41,,,19,1,20,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,18,19,20
1,2,1,22,201,201,1,1,0,0,0,1,1,0,0,6,5,12,,41,,,3,3,10,0,0,0,1,2,3,4,4,5,7,10,10,10,10,11,11,12,13,14,15,20
1,2,1,23,201,201,1,1,0,0,0,2,0,1,0,0,5,14,,41,,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,24,201,201,1,1,0,0,0,1,1,0,0,15,12,9,,41,,,15,0,15,0,1,2,4,5,6,7,9,11,12,13,14,15,16,17,18,19,20,20,20,20
1,2,1,25,202,202,1,1,0,0,0,1,1,0,0,20,20,0,,21,,,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1,2,1,26,202,202,1,1,0,0,0,2,0,1,0,0,4,7,,21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,27,202,202,1,1,0,0,0,1,1,0,0,1,18,7,,21,,,1,0,10,0,0,0,0,0,0,0,5,5,5,10,10,10,10,10,10,10,1,1,1,1
1,2,1,28,202,202,1,1,0,0,0,2,0,1,0,0,9,7,,21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,29,203,203,1,1,0,0,0,2,0,1,0,0,5,12,,37,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,30,203,203,1,1,0,0,0,1,1,0,0,10,10,9,,37,,,20,-10,10,0,1,2,3,4,5,6,7,8,9,20,11,12,13,14,15,16,17,18,19,20
1,2,1,31,203,203,1,1,0,0,0,1,1,0,0,15,16,7,,37,,,14,1,12,0,0,1,1,2,3,4,5,6,7,8,10,12,12,12,12,14,16,17,19,20
1,2,1,32,203,203,1,1,0,0,0,1,1,0,0,12,9,8,,37,,,10,2,12,5,5,5,5,5,6,10,10,10,10,11,15,15,15,15,16,20,20,20,20,20
1,2,1,33,204,204,1,1,0,0,0,1,1,0,0,14,14,5,,30,,,14,0,15,4,3,4,5,5,5,5,5,8,10,10,11,10,12,14,16,15,17,17,19,19
1,2,1,34,204,204,1,1,0,0,0,1,1,0,0,16,16,5,,30,,,18,-2,18,2,2,2,3,4,5,6,8,8,10,12,12,14,14,16,16,18,18,20,20,20
1,2,1,35,204,204,1,1,0,0,0,1,1,0,0,0,7,10,,30,,,7,-7,10,0,1,2,3,4,5,6,7,8,9,10,10,10,11,11,12,12,13,14,15,0
1,2,1,36,204,204,1,1,0,0,0,2,0,1,0,0,10,10,,30,,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,37,301,301,1,1,0,0,0,1,1,0,0,10,7,3,,20,,,5,5,10,0,0,0,0,0,5,5,5,5,5,10,11,12,13,14,15,16,17,18,19,20
1,3,1,38,301,301,1,1,0,0,0,1,1,0,0,0,3,7,,20,,,2,-2,5,0,0,1,2,2,3,3,3,4,4,4,5,5,5,5,6,6,7,8,8,9
1,3,1,39,301,301,1,1,0,0,0,2,0,1,0,0,10,7,,20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,40,301,301,1,1,0,0,0,1,1,0,0,10,12,3,,20,,,15,-5,12,0,1,2,3,4,5,6,10,10,10,15,15,15,15,20,20,20,20,20,20,20
1,3,1,41,302,302,1,1,0,0,0,1,1,0,0,10,10,18,,65,,,6,4,9,0,0,1,1,1,2,3,4,5,6,6,6,7,7,7,8,9,10,17,17,17
1,3,1,42,302,302,1,1,0,0,0,1,1,0,0,20,15,15,,65,,,15,5,20,0,0,0,0,0,0,0,5,5,5,10,10,10,10,10,15,18,19,20,20,20
1,3,1,43,302,302,1,1,0,0,0,1,1,0,0,15,16,17,,65,,,16,-1,18,0,0,0,0,0,0,0,2,2,3,4,5,6,7,8,9,16,17,18,20,20
1,3,1,44,302,302,1,1,0,0,0,1,1,0,0,20,19,15,,65,,,19,1,20,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3,1,45,303,303,1,1,0,0,0,2,0,1,0,0,0,12,,35,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,46,303,303,1,1,0,0,0,2,0,1,0,20,20,5,,35,,,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,47,303,303,1,1,0,0,0,1,1,0,0,6,8,10,,35,,,6,0,6,0,1,1,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17
1,3,1,48,303,303,1,1,0,0,0,1,1,0,0,9,11,9,,35,,,10,-1,12,0,0,0,3,3,5,5,8,8,8,10,10,12,12,12,12,12,12,12,12,12
1,3,1,49,304,304,1,1,0,0,0,1,1,0,0,0,8,10,,31,,,2,-2,0,0,0,0,0,0,0,0,2,2,6,8,8,8,8,10,10,14,16,16,16,0
1,3,1,50,304,304,1,1,0,0,0,3,0,0,1,3,19,9,,31,,,5,-2,8,18,20,19,15,18,14,13,16,11,10,9,8,6,8,15,3,2,2,1,5,2
1,3,1,51,304,304,1,1,0,0,0,3,0,0,1,15,14,5,,31,,,0,15,6,0,2,3,3,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,3,1,52,304,304,1,1,0,0,0,1,1,0,0,13,11,6,,31,,,10,3,12,4,4,4,5,5,4,5,7,8,10,10,10,12,14,8,2,8,15,16,16,16
1,4,1,53,401,401,1,1,0,0,0,1,1,0,0,5,8,4,,17,,,8,-3,20,0,1,2,3,4,5,6,7,8,9,5,6,7,8,9,10,11,12,13,14,15
1,4,1,54,401,401,1,1,0,0,0,3,0,0,1,11,10,2,,17,,,10,1,12,5,5,5,5,5,5,10,10,10,10,10,10,10,10,7,8,9,10,7,5,5
