"DATA for Gaechter, Koelle, Quercia: Reciprocity and the Tragedies of Maintaining and Providing the Commons, Nature Human Behaviour",,,,,,,,,,,,,,
See README for list of variable labels and Methods for further details,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
session,cpp,id,mg,period,type,CC,FR,OT,c,c_other,pos_dev,neg_dev,avg_other_two,pun
1,1,1,1,1,1,1,0,0,8,0,0,8,3,0
1,1,1,1,1,1,1,0,0,8,1,0,7,2.5,0
1,1,1,1,1,1,1,0,0,8,5,0,3,0.5,0
1,1,9,1,1,2,0,1,0,0,1,1,0,6.5,0
1,1,9,1,1,2,0,1,0,0,8,8,0,3,0
1,1,9,1,1,2,0,1,0,0,5,5,0,4.5,0
1,1,17,1,1,1,1,0,0,5,8,3,0,0.5,0
1,1,17,1,1,1,1,0,0,5,1,0,4,4,0
1,1,17,1,1,1,1,0,0,5,0,0,5,4.5,0
1,1,25,1,1,2,0,1,0,1,8,7,0,2.5,0
1,1,25,1,1,2,0,1,0,1,0,0,1,6.5,1
1,1,25,1,1,2,0,1,0,1,5,4,0,4,1
1,1,1,1,2,1,1,0,0,7,3,0,4,0.5,0
1,1,1,1,2,1,1,0,0,7,1,0,6,1.5,0
1,1,1,1,2,1,1,0,0,7,0,0,7,2,0
1,1,9,1,2,2,0,1,0,0,1,1,0,5,0
1,1,9,1,2,2,0,1,0,0,3,3,0,4,0
1,1,9,1,2,2,0,1,0,0,7,7,0,2,0
1,1,17,1,2,1,1,0,0,3,1,0,2,3.5,0
1,1,17,1,2,1,1,0,0,3,0,0,3,4,1
1,1,17,1,2,1,1,0,0,3,7,4,0,0.5,0
1,1,25,1,2,2,0,1,0,1,0,0,1,5,1
1,1,25,1,2,2,0,1,0,1,7,6,0,1.5,0
1,1,25,1,2,2,0,1,0,1,3,2,0,3.5,1
1,1,1,1,3,1,1,0,0,4,3,0,1,0,0
1,1,1,1,3,1,1,0,0,4,0,0,4,1.5,0
1,1,1,1,3,1,1,0,0,4,0,0,4,1.5,0
1,1,9,1,3,2,0,1,0,0,0,0,0,3.5,0
1,1,9,1,3,2,0,1,0,0,3,3,0,2,0
1,1,9,1,3,2,0,1,0,0,4,4,0,1.5,0
1,1,17,1,3,1,1,0,0,3,4,1,0,0,0
1,1,17,1,3,1,1,0,0,3,0,0,3,2,1
1,1,17,1,3,1,1,0,0,3,0,0,3,2,1
1,1,25,1,3,2,0,1,0,0,0,0,0,3.5,1
1,1,25,1,3,2,0,1,0,0,4,4,0,1.5,1
1,1,25,1,3,2,0,1,0,0,3,3,0,2,1
1,1,1,1,4,1,1,0,0,0,1,1,0,0,0
1,1,1,1,4,1,1,0,0,0,0,0,0,0.5,0
1,1,1,1,4,1,1,0,0,0,0,0,0,0.5,0
1,1,9,1,4,2,0,1,0,0,1,1,0,0,1
1,1,9,1,4,2,0,1,0,0,0,0,0,0.5,0
1,1,9,1,4,2,0,1,0,0,0,0,0,0.5,0
1,1,17,1,4,1,1,0,0,1,0,0,1,0,0
1,1,17,1,4,1,1,0,0,1,0,0,1,0,0
1,1,17,1,4,1,1,0,0,1,0,0,1,0,1
1,1,25,1,4,2,0,1,0,0,0,0,0,0.5,1
1,1,25,1,4,2,0,1,0,0,1,1,0,0,1
1,1,25,1,4,2,0,1,0,0,0,0,0,0.5,1
1,1,1,1,5,1,1,0,0,1,0,0,1,0,0
1,1,1,1,5,1,1,0,0,1,0,0,1,0,0
1,1,1,1,5,1,1,0,0,1,0,0,1,0,0
1,1,9,1,5,2,0,1,0,0,0,0,0,0.5,0
1,1,9,1,5,2,0,1,0,0,1,1,0,0,0
1,1,9,1,5,2,0,1,0,0,0,0,0,0.5,0
1,1,17,1,5,1,1,0,0,0,1,1,0,0,0
1,1,17,1,5,1,1,0,0,0,0,0,0,0.5,0
