pid,con,scen,sex,age,ethnic,alex,words,describe,first.choice,coop,delay,teq,iri_pt,iri_fs,iri_ec,iri_pd
7019,imag,sub,F,19,South Asian,F,NA,Alex and I standing in a subway train talking about a general topic till two men start t,1,19,2,51,20,25,25,17
7026,imag,sub,F,18,East Asian,F,NA,It is a busy Friday night on the subway. People were rushing and shoving each other and then Alex was harassed. We exitted the train and talked about what happened and how she was feeling.,1,20,20,36,9,27,15,15
7031,imag,sub,F,23,East Asian,F,NA,I would ask her if she needs help and ask the harasser to stop bothering her. I would also ask her if she wants me to ask the driver for assistance and if she wants me to go somewhere else with her away from the harasser.,1,20,20,14,18,5,7,11
7052,imag,res,F,18,South Asian,F,NA,"I'd assist her to the washroom, if she felt nauseated. If she was still feeling nauseated after washing",1,20,20,53,20,20,20,16
7053,imag,res,F,18,European,F,NA,"It's Friday evening, Alex is feeling sick from the pizza she had for",0,7,0,40,17,11,16,10
7058,imag,res,F,18,East Asian,F,NA,"I imagined a Thursday afternoon, with the sun shining outside, and she would tell me that she is feeling ill and we would walk back to res together",1,20,20,56,22,13,24,11
7064,imag,res,F,20,European,F,NA,"Saturday afternoon, it's a small cafe, it's busy. A",1,20,20,56,25,25,25,18
7069,imag,res,F,19,East Asian,F,NA,Alex is with her friends after class and goes to a nearby restaurant on campus. They order a pizza to share,1,20,20,51,26,22,25,11
7075,imag,res,F,18,East Asian,F,NA,"Like she eats few pizza slices, and also because of the weather, so she feels sick and should go to the hospital",1,20,20,51,24,19,24,14
7081,imag,res,F,19,East Asian,F,NA,"Saturday Lunch time. Alex is feeling ill and I asked what's the matter in order to help. Depending of the degree of how ill Alex is feeling, I would give her warm water first, ask if she would like to",0,0,0,21,10,13,5,11
7089,imag,res,F,18,East Asian,F,NA,Alex and I are eating at a family-style restaurant (ie East Side Mario's) with a small group of friends on a Saturday night.,1,20,20,46,10,21,16,15
7120,imag,sub,F,19,East Asian,F,NA,"Imagining the general environment (subway, Alex being harassed) was simple to do, but imagining ways to help Alex was difficult, ***because there wasn't enough detail/information provided.",1,20,20,41,17,17,15,16
7168,imag,sub,F,19,Caribbean,F,NA,"In this situation, I imagined Alex being pushed around by a group of males. I imagined myself trying to shout at the males to get them to stop harassing her.",1,20,20,41,20,8,14,12
7171,imag,sub,F,18,South Asian,F,NA,"i imagined myself helping alex by going up to her and saying ""alex long time no see"" and finding a way to excuse herself from the situation. I imagined it on the bus so i asked the harrasser to give up his seat so i can talk to a friend that i have not seen in a while",1,11,2,53,12,21,21,13
7172,imag,sub,F,21,East Asian,F,NA,on  a Friday afternoon,1,20,20,41,21,24,21,12
7017,imag,sub,F,20,East Asian,M,NA,"It is a hot summer afternoon on the TTC. Because it is rush hour, all the passengers on the Westbound Line 1 subway are packed liked sardines, suffocated. Alex is chatting with",1,20,20,58,22,25,27,10
7018,imag,sub,F,18,European,M,NA,"We are in Dundas station when a homeless person starts to harass Alex. First, they ask Alex for some spare chanage",1,20,20,61,27,26,27,10
7025,imag,sub,F,18,East Asian,M,NA,I first inform the person who is harrasin,1,20,20,49,14,27,17,20
7027,imag,sub,F,18,East Asian,M,NA,"Alex is on the subway, close to the door and harassed by a group of men who looks homeless. My phone doesn't a",1,20,20,47,15,20,19,15
7030,imag,sub,F,23,South Asian,M,NA,"Random druggie approaches Alex and harasses him for money and stands in front of him, I yell out to Alex and say 'Hey! Its our stop,",1,20,20,60,26,21,26,11
